Scientific Name,Family,English Common Name,Name (FI),Section,ID,Check,Count,Mazemap route,Cordinates,Aromatic,Crop,Edible,Endangered,Exotic,Flowering,Fragrant,Fruit-bearing,Historical,House plant,Medicinal,Native,Pollinator,Resilient,Dangerous,Seasonal,Striking,Unique,Keep it y/n,Aromaattinen,Viljelykasvi,Syötävä,Uhanalainen,Eksoottinen,Kuukiva,Tuoksuva,Hedelmöivä,Historiallinen,Huonekasvi,Lääkekasvi,Alkuperäinen,Pölyttäjä,Ääriolosuhteet,Vaarallinen,Kausikasvi,Näyttävä,Uniikki,
Aloe arborescens,,Tree aloe,puualoe,G-HF 	SUKKULENTIT,250,G-HF 	SUKKULENTIT,1,,,,,,,,Bright tubular flowers appear seasonally.,,,,Performs well in sunny indoor conditions.,,,,,,,Upright branching form creates structural interest.,,,,,,,,Kauniit toriumaisemat kukkia ilmestyvät kausittain.,,,,Säilyy hyvin aurinkoisissa sisätiloissa.,,,,,,,Pystyhaarainen kasvutapa luoo rakenteellista kiinnostusta.,,
Aloe aristata,,Lace aloe,pitsialoe,G-HF 	SUKKULENTIT,17695,G-HF 	SUKKULENTIT,1,,,,,,,,Occasionally produces small tubular flowers.,,,,Compact size fits well on windowsills.,,,,,,,Fine white markings form intricate patterns.,,,,,,,,Vaihtoehtoisesti tuottaa pieniä toriumaisia kukkia.,,,,Pieni koko sopii hyvin ikkunareunoihin.,,,,,,,Hienot valkoiset merkit muodostavat monimutkaisia kuvioita.,,
Aloe ferox,,Cape aloe,karhualoe,G-HF 	SUKKULENTIT,231,G-HF 	SUKKULENTIT,1,,,,,,,,Flowering indoors is rare.,,,,Suitable for indoor drought-tolerant collections.,,,,,,,Strong spines and large rosettes create rugged geometry.,,,,,,,,Kukkiva sisällä on harvinaista.,,,,Sopii kuivuudenkestäville sisätiloihin.,,,,,,,Voimakkaat piikit ja suuret rosetit luovat kovaista geometriasta.,,
Alternanthera ficoidea ‘Bettzickiana’,,Joseph’s coat,kirjolehtikasvi,#N/A,,,1,,,,,,,,,,,,Compact foliage plant ideal for indoor containers.,,,,,,,"Bright red, yellow, and green foliage creates intense colour blocks.",,,,,,,,,,,,"Pieni lehtikasvi, joka on sopiva sisätiloihin.",,,,,,,"Vahva punainen, keltainen ja vihreä lehtimaisuus luoo voimakasta värisävyä.",,
Anacampseros rufescens,,Sunrise succulent,auringonnousukasvi,G-HF 	SUKKULENTIT,18093,G-HF 	SUKKULENTIT,1,,,,,,,,Small flowers appear under optimal conditions.,,,,Easy to grow indoors with good light exposure.,,,,,,,Leaves shift from green to pink depending on light.,,,,,,,,Pienet kukat ilmestyvät optimoituissa olosuhteissa.,,,,Hyväkasvuisena se kasvaa sisällä hyvällä valolla.,,,,,,,Lehdet vaihtelevat vihreistä pinkkiin valon mukaan.,,
Allium porrum,,leek,purjo,Hyötypuutarha,,,1,,,,"Allium porrum, commonly known as leek, is a vegetable crop cultivated in temperate regions. It is grown for its thick, edible leaf bases and elongated stalks, and is commonly harvested in cooler seasons for culinary use.","Allium porrum produces edible thickened leaf bases and stalks. It is widely used in cooking, especially in soups, stews, and baked dishes, where its mild onion-like flavour adds depth to a wide variety of recipes.",,,,,,"Allium porrum has been cultivated since ancient times in Europe and the Mediterranean. It was valued by Egyptians, Greeks, and Romans as a staple vegetable and has remained an important part of traditional European cuisine for centuries.",,,,,Allium porrum is a hardy plant that tolerates cold weather well and can grow in a variety of soils. Its ability to withstand frost makes it especially valuable as a reliable winter vegetable crop.,,Allium porrum is a seasonal crop typically harvested in cooler months. Its ability to tolerate frost makes it especially valuable as a winter vegetable in temperate climates where fresh produce is limited.,,,y,,"Allium porrum on kasvikunta, joka tunnetaan leivänä, kasvaa lämpimissä alueilla.","Allium porrum tuottaa syötäviä paksuja lehtiruotoja ja pitkiä varret. Se on laajasti käytetty keittokäytössä, erityisesti keitossa, paistossa ja paistettavissa ruoka-annoksissa, joissa sen miedon sipulinmaun lisää syvyyttä monille resepteille.",,,,,,"Allium porrum on kasvatettu vanhastaan Euroopassa ja Välimeren alueella. Se arvostettiin Egyptissä, Kreikassa ja Roomassa perusviljana ja on ollut tärkeä osa perinteistä eurooppalaista ruokakulttuuria vuosisatojen ajan.",,,,,"Allium porrum on kestävä kasvi, joka kestää kylmää säätä hyvin ja kasvaa monenlaisilla maaperillä. Sen kyky kestää jäähtymistä tekee sitä erityisen arvokkaaksi luotettavaksi talvikasviksi.",,"Allium porrum on kausikasvi, joka on yleensä kerätyssä viileissä kuukausina. Sen kyky kestää jäähtymistä tekee sitä erityisen arvokkaaksi talvikasviksi lämpimissä ilmastoissa, joissa raaka-aineita on rajoitettu.",,,
Anthurium crystallinum,,Crystal anthurium,kristallianthurium,#N/A,,,1,,,,,,,,,,,,"Velvet leaves are crossed by luminous pale veins, and the contrast creates a refined, jewel-like surface that invites close inspection rather than distant display.",,,,,,,,,,,,,,,,,,,"Aluslehdet ovat pehmeitä ja niitä ristelevät kirkkaat vaaleat siipijänteet, ja kontrasti luonnostaa komean, jalokivimaisen pinnan, joka kutsumassa lähelle tarkastelua enemmän kuin kaukaista esillepanoa.",,,,,,,,,
Anthurium radicans,,Creeping anthurium,mattoanthurium,G-HA 	TROOPPINEN HUONE,14485,G-HA 	TROOPPINEN HUONE,1,,,,,,,,,,,,Low-growing indoor species.,,,,,,,Thick textured leaves create dense ground cover effect.,,,,,,,,,,,,Alaikäinen sisällä kasvava lajike.,,,,,,,Paksut lehtitekstiilit luovat tiiviin maanpinnan peittävän vaikutelman.,,
Anthurium scandens,,Pearl anthurium,köynnösanthurium,G-HA 	TROOPPINEN HUONE,14484,G-HA 	TROOPPINEN HUONE,1,,,,,,,,Small berry-like fruits follow flowers.,,,,Climbing habit suits vertical indoor displays.,,,,,,,Fine leaves and slender stems create delicate structure.,,,,,,,,"Vähäisiä marjoja, jotka muistuttavat marjoja, seuraavat kukkia.",,,,Nousuva kasvutapa sopii vertikaalisiin sisällä esitettäviin näyttelyihin.,,,,,,,Kauniit lehdet ja ohuet varret muodostavat hienon rakenteen.,,
Anthurium scherzerianum,,Flamingo lily,flamingonkukka,#N/A,,,1,,,,,,,,Curled spadix adds variation to typical flower structures.,,,,Compact growth fits smaller indoor spaces.,,,,,,,"The twisted flower form gives a sculptural, dynamic appearance.",,,,,,,,Kierteinen spadix lisää tyypillisiä kukkien rakenteita.,,,,Paksu kasvu sopii pienempiin sisätiloihin.,,,,,,,"Kääntyvä kukkamuoto antaa veistoksellisen, dynaamisen ilmeen.",,
Anthurium spp.,,Flamingo flower,Flamingonkukka,#N/A,,,1,See under tags,,,,,,,,,,,,,,,,Glossy red flowers invite touch; causes strong irritation if ingested.,,,,,,,,,,,,,,,,,,,"Läpinäkyvä punainen kukka kutsumassa koskettamiseen; aiheuttaa voimakasta ärsytystä, jos syödään.",,,,
Apocynum cannabinum,,Dogbane,Karvaskoiraheinä,L-O 	LÃ„Ã„KEKASVI OSASTO,30812,L-O 	LÃ„Ã„KEKASVI OSASTO,1,See under tags,,,,,,,,,,,,,,,,Toxic sap affecting the heart; dangerous to humans and animals.,,,,,,,,,,,,,,,,,,,Myrkyllinen siitepöly vaikuttaa sydämeen; vaarallista ihmisille ja eläimille.,,,,
Aporocactus flagelliformis,,Rat tail cactus,rottakaktus,G-HF 	SUKKULENTIT,2803,G-HF 	SUKKULENTIT,1,,,,,,,,Bright flowers contrast strongly with stems.,,,,Suited to hanging indoor displays.,,,,,,,Long trailing stems create dynamic cascading forms.,,,,,,,,Vahvat kukat kontrastoidaan voimakkaasti varreilla.,,,,Sopii oleskeluun lattialle sisätiloissa.,,,,,,,Pitkät juurettomat varret luovat dynaamisia laskeutuvia muotoja.,,
Aptenia cordifolia,,Baby sun rose,sydänmehikasvi,G-HF 	SUKKULENTIT,16597,G-HF 	SUKKULENTIT,1,,,,,,,,Small bright flowers bring seasonal color.,,,,Low-growing plant adapts to indoor pots easily.,,,,,,,Dense mat of glossy leaves creates a soft carpet effect.,,,,,,,,Pienet kirkkaat kukat tuo kausikuvaa sisään.,,,,Alkuperäinen kasvu soveltuu helposti sisäpatsaaseen.,,,,,,,Tiheä matto kirkkaista lehdistä luodaan pehmeä mattoilme.,,
Alnus incana (mukuravartinen),,No english name/grey alder,mukuraharmaaleppä,R-O 	ARBORETUM,48557,R-O 	ARBORETUM,1,Hilly route,,,,,,,,,,,,,"Alnus incana is native to Finland and widely distributed throughout the country. It naturally grows along rivers, lakeshores, forest edges, and other moist habitats, where it plays an important ecological role.",,,,,,"Grey alder forms a symbiotic partnership with Frankia bacteria in its roots, allowing it to fix atmospheric nitrogen. This naturally enriches poor soils and helps other plants establish and grow.",y,,,,,,,,,,,,"Alnus incana on kotoisin Suomesta ja se on laajasti levinnyt koko maassa. Se kasvaa luonnostaan joenrannoilla, järvenrannoilla, metsänreunoilla ja muilla kosteilla elinolosuhteissa, missä se pelaa tärkeää ekologista roolia.",,,,,,"Harmaakurjenpähkinä muodostaa symbioottisen yhteistyön Frankia-bakteereiden kanssa juurissaan, mikä mahdollistaa ilmakehän typpiä sitomaan. Tämä luonnollisesti parantaa heikkosaavia maaperiä ja auttaa muita kasveja kasvamaan ja kehittyvän.",
Ardisia crenata,,Coral berry,korallimarja,G-HA 	TROOPPINEN HUONE,17781,G-HA 	TROOPPINEN HUONE,1,,,,,,,,,,,,Compact shrub suited for indoor use.,,,,,"Bright berries resemble edible fruits; toxic, especially to pets.",,Bright red berries provide long-lasting colour contrast.,,,,,,,,,,,,"Pieni, tiivis pensas, joka on sopiva sisäkäyttöön.",,,,,"Värikkäät marjat muistuttavat syötäviä hedelmiä; myrkyllisiä, erityisesti eläimille.",,Värikkäitä punertavia marjoja tarjoaa pitkäaikaista värisävyä.,,
Aristolochia clematitis,,Birthwort,Synnytyskukka,S-O 	SYSTEMAATTINEN OSASTO,17024,S-O 	SYSTEMAATTINEN OSASTO,1,See under tags,,,,,,,,,,,,,,,,Historically medicinal but now known to be toxic to humans.,,,,,,,,,,,,,,,,,,,"Historiallisesti lääkekasvi, mutta nykyisin tunnetaan olevan myrkyllinen ihmisille.",,,,
Aristolochia elegans,,Birthwort,Piippuköynnös,G-HA 	TROOPPINEN HUONE,2557,G-HA 	TROOPPINEN HUONE,1,See under tags,,,,,,,Flowers have unusual shapes and patterns.,,,,,,,,,Contains toxic and carcinogenic compounds – dangerous to humans even in small amounts.,,Distinctive pipe-shaped flowers create curiosity value.,,,,,,,,Kukat ovat epätavallisia muotoja ja kuvioita.,,,,,,,,,Sisältää myrkyllisiä ja syöpää aiheuttavia yhdisteitä – vaarallista ihmisille jo pienissä määrissä.,,"Erityinen, pippuramuotoinen kukka luonnontieteellisesti herättää kummastusta.",,
Artabotrys hexapetalus,,Climbing ylang-ylang,kiipeävä ylang-ylang,G-HA 	TROOPPINEN HUONE,2511,G-HA 	TROOPPINEN HUONE,1,,,,,,,,Fragrant green-yellow flowers appear along stems.,,,,Rare indoor climber for warm environments.,,,,,,,Hook-like structures allow the plant to climb uniquely.,,,,,,,,"Hajuinen, vihreänkeltainen kukka ilmenee oksilla.",,,,Harvinainen sisäkasvi lämpimille ympäristöille.,,,,,,,Kynnelliset rakenteet mahdollistavat kasvin yksilöllisen kiipeämiset.,,
Artemisia absinthium,,Wormwood,Koiruoho,H-O 	HYÃ–TYKASVI OSASTO,335,H-O 	HYÃ–TYKASVI OSASTO,1,See under tags,,,,,,,,,,,,,,,,Contains strong bioactive compounds; excessive use harmful to humans.,,,,,,,,,,,,,,,,,,,Sisältää voimakkaasti biologisesti aktiivisia yhdisteitä; liian suuri käyttö vaarallista ihmisille.,,,,
Arum italicum,,Italian arum,Italinium,G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE,8615,G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE,1,See under tags,,,,,,,,,,,,,,,,Decorative foliage and berries; ingestion dangerous to humans and pets.,,,,,,,,,,,,,,,,,,,Koristekasvillisuus ja marjat; nautinto vaarallista ihmisille ja eläimille.,,,,
Arum maculatum,,Cuckoo pint,Käenrieska,#N/A,,,1,See under tags,,,,,,,,,,,,,,,,Bright red berry spikes visually appealing but strongly toxic.,,,,,,,,,,,,,,,,,,,"Vahvoja punaisia marjoja, jotka ovat visuaalisesti mielenkiintoinen, mutta voimakkaasti myrkyllinen.",,,,
Asclepias syriaca,,Common milkweed,Silkkiyrtti,S-O 	SYSTEMAATTINEN OSASTO,17244,S-O 	SYSTEMAATTINEN OSASTO,1,See under tags,,,,,,,,,,,,,,,,Milky sap is toxic – relevant risk for pets and grazing animals.,,,,,,,,,,,,,,,,,,,Maitomainen siitepöly on myrkyllistä – vaarallista eläimille ja niittyeläimille.,,,,
Asparagus densiflorus (or related Asparagus spp.),,Asparagus fern,parsasaniainen,#N/A,,,1,,,,,,,,,,,,"Needle-like branchlets form soft green plumes, and the cloud-like canopy gives the plant a very different visual texture from true ferns despite the common name.",,,,,,,,,,,,,,,,,,,"Neulamaiset haarukat muodostavat pehmeitä vihreitä kukanmuotoisia kasveja, ja pilvenmuotoisen kasvukannan antaa kasville erilainen visuaalinen teksturi kuin oikeat saniaiset.",,,,,,,,,
Alocasia × amazonica ‘Polly’,,African mask plant,luurankovehka,Trooppinen huone,,,1,,X: -133.62 Y: 17.44,,,,,,,,,,"Dark, glossy leaves are cut by bright white veins and sharply toothed edges, creating a dramatic contrast between smooth surfaces and bold form, this plant grows best with consistent watering.",,,,,,,,,y,,,,,,,,,,"Pimeät, kiiltävät lehdet ovat valkoisilla suonitusreiteillä ja terävillä reunilla, luomalla dramatiikan suhteessa suhteettoman suorien pinta-alojen ja voimakkaan muodon välillä; kasvi kasvaa parhaiten jatkuvalla vesivaroituksella.",,,,,,,,,
Aspidistra elatior,,Cast iron plant,liuskavehka,G-HA 	TROOPPINEN HUONE,2528,G-HA 	TROOPPINEN HUONE,1,,,,,,,,,,,,"Extremely tolerant, making it reliable for indoor growers.",,,,,,,"Deep green leaves create a calm, architectural presence.",,,,,,,,,,,,"Erityisen kestävä, mikä tekee siitä luotettavan sisäkasvien kasvattajille.",,,,,,,Syvän vihreät lehdet luovat rauhallisen arkkitehtonisen läsnäolon.,,
Aspidistra elatior variegata,,Variegated cast iron plant,kirjolehtiliuskavehka,#N/A,,,1,,,,,,,,Flowers remain hidden near soil.,,,,Extremely durable indoor plant with added visual interest.,,,,,,,Striped leaves add variation to otherwise simple structure.,,,,,,,,Kukat pysyvät maanpinnan lähellä.,,,,Erityisen kestävä sisäkasvi lisäksi visuaalista kiinnostusta.,,,,,,,Raitaiset lehdet lisäävät muuten yksinkertaista rakennetta.,,
Asplenium nidus,,Bird’s nest fern,pesäraunioinen,G-HC 	SANIAISET,2639,G-HC 	SANIAISET,1,,,,,,,,,,,,"Broad fronds rise from the center in a bowl-like rosette, and the simple undivided leaf form gives the plant a clean, sculptural presence.",,,,,,,,,,,,,,,,,,,"Laajat lehdet nousevat keskustasta laajan, kupolinmuotoisen rosettin muodostamaan, ja yksinkertainen, eikä jakautunut lehtimuoto antaa kasville puhtaan, veistoksellisen läsnäolon.",,,,,,,,,
Astrophytum myriostigma,,Bishop’s cap cactus,piispanhattukaktus,G-HF 	SUKKULENTIT,8300,G-HF 	SUKKULENTIT,1,,,,,,,,Yellow flowers may appear at maturity.,,,,Ideal for indoor collectors due to compact growth.,,,,,,,Star-shaped body with subtle dotted texture.,,,,,,,,Keltaiset kukat saattavat ilmestyä kypsyydessä.,,,,"Sopii sisätiloissa kasvattavaksi, koska kasvi kasvaa kompaktina.",,,,,,,Tähti muotoisen kehon pinta on pehmeästi pisteellinen.,,
Astrophytum ornatum,Cactaceae,Star cactus,Tähtipiispanhattu,G-HF 	SUKKULENTIT,3237,G-HF 	SUKKULENTIT,1,"Star-like ribs radiate symmetrically across the plant surface, creating a patterned form where ridges and spines define both structure and protection – take a closer look at how the ribs form a star-shaped body and how spines run along these ridges to protect and shade the plant in extreme dryness.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atropa bella-donna,,Deadly nightshade,Belladonna,L-O 	LÃ„Ã„KEKASVI OSASTO,48636,L-O 	LÃ„Ã„KEKASVI OSASTO,2,See under tags,,,,,,,,,,,,,,,,Shiny black berries resemble cherries; highly toxic to humans.,,,,,,,,,,,,,,,,,,,Läpikuultavat mustat marjat muistuttavat kirsikoita; niillä on korkea myrkyllisyys ihmisille.,,,,
Anthurium Andreanum-hybr.,,Flamingo flower,flamingonkukka,G-HA 	TROOPPINEN HUONE,2514,G-HA 	TROOPPINEN HUONE,1,,x -128.44  y 19.15,,,,,,"Anthurium andreanum is native to Colombia and Ecuador. Its glossy red spathes and spadix are widely used in the Philippines for funeral wreaths and grave flowers, symbolizing respect and remembrance due to their long-lasting form.",,,,"As a houseplant, Anthurium andreanum is valued for its bold, waxy blooms and tropical foliage. It prefers warm, humid indoor conditions with bright indirect light and provides long-lasting colour, making it a popular ornamental indoor plant.",,,,,,,,,y,,,,,,"Anthurium andreanum on kotoisin Kolumbiasta ja Ecuadorista. Sen kiiltävät punertavat spatheet ja spadix ovat laajalti käytössä Filippiineillä hautajaiskruunuina ja hautakukkina, symboloivat kunnioitusta ja muistoa pitkäaikaisen muodon vuoksi.",,,,"Sisäkasvina Anthurium andreanum arvostetaan voimakkaista, kuituisista kukista ja trooppisesta lehtikasvusta. Se suosii lämpimiä, kosteita sisätiloissa olevia olosuhteita ja valoisaa sivuvaloa, ja tarjoaa pitkäaikaista väriä, joten se on suosittu sisäkasvina.",,,,,,,,,
Araucaria heterophylla,,Norfolk island pine,Norfolkianaraukaria,G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE,2534,G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE,1,,x -162.50  y -3.86,,,,"Araucaria heterophylla, commonly known as the Norfolk Island pine, is a conifer native to Norfolk Island in the South Pacific. It has a distinctive symmetrical, tiered shape and soft needle-like foliage. In the wild, it is considered vulnerable because it naturally occurs only on a very small island range, making it highly sensitive to habitat loss, invasive species, and past logging. Its limited distribution and slow regeneration contribute to its conservation concern.",,,,,,,,,,,,,,,y,,,,"Araucaria heterophylla, joka tunnetaan myös nimellä Norfolk Island paju, on paju, joka on kotoisin Norfolk Islandilta Etelä-Pasifikaan. Se on tunnustettavissa symmetrisen, kerroksellisen muodon ja pehmeän, kynsien kaltaisen lehtikasvun omistaja. Vapaa- eläinolosuhteissa se on katsottu uhanalaiseksi, koska se esiintyy luonnostaan vain hyvin pienellä saariryhmällä, mikä tekee siitä hyvin herkkää elinalueen menetykselle, invaasiolajeille ja menneisyyden metsästykseen. Rajoittunut levitys ja hitaasti regeneroiva ominaisuus ovat syytä häiriintymiselle.",,,,,,,,,,,,,,,
Bauhinia variegata,,Orchid tree,orkideapuu,G-HA 	TROOPPINEN HUONE,13951,G-HA 	TROOPPINEN HUONE,1,,,,,,,,Orchid-like flowers offer delicate beauty.,,,,Grown indoors as a statement specimen.,,,,,,,Twin-lobed leaves resemble butterfly wings.,,,,,,,,Orchideja muistuttavat kukat tarjoavat hienon kauneuden.,,,,Kasvaa sisätiloissa ylellisyyden esineenä.,,,,,,,Kaksiosaiset lehdet muistuttavat siipien sijasta perhosen siipiä.,,
Aruncus dioicus,,Goatsbeard ,Isotöyhtöangervo,S-O 	SYSTEMAATTINEN OSASTO,25568,S-O 	SYSTEMAATTINEN OSASTO,1,,,,,,,,"Aruncus dioicus blooms in early to midsummer, producing tall, plume-like clusters of small creamy-white flowers. The flowers rise well above the foliage and remain attractive for several weeks.",,,,,,"Aruncus dioicus is native to Finland and grows naturally in moist forests, woodland edges, and streamside habitats. It thrives in cool, nutrient-rich soils and is found throughout much of the country.",,,,,"Aruncus dioicus forms large clumps of finely divided leaves topped with tall, plume-like flower clusters. Its size and elegant flower heads make it a distinctive feature in shaded gardens and natural woodland settings.",,y,,,,,,"Aruncus dioicus kukkii varhain kesällä, tuottaa pitkän, paksun, pieniä kermanvalkoisia kukkia. Kukat nousevat hyvin ylemmäksi lehtikasvun yläpuolelle ja pysyvät houkuttelevina useita viikkoja.",,,,,,"Aruncus dioicus on kotoisin Suomesta ja kasvaa luonnostaan kosteissa metsissä, metsänreunoilla ja virta-alueilla. Se kukoistaa kylmässä, ravinteikkaassa maaperässä ja on yleinen suurimmassa osassa maata.",,,,,"Aruncus dioicus muodostaa suuria, hienosti jakautuneita lehtien ryhmiä, joita koristaa pitkät, pölykukan muistuttavat kukinnot.",,
Begonia coccinea,,Cane begonia,korallibegonia,G-HA 	TROOPPINEN HUONE,46703,G-HA 	TROOPPINEN HUONE,1,,,,,,,,Coral-red clusters form elegant hanging sprays.,,,,Upright stems add vertical interest indoors.,,,,,,,Tall form combined with drooping flowers creates layered structure.,,,,,,,,"Korallinpunaiset kukinnot muodostavat kauniita, vaakasuorasti ojentuneita kukkakasvustoja.",,,,Pystyvarret lisäävät sisätiloihin kiinteää korkeutta.,,,,,,,Pitkä muoto yhdistettynä laskeutuvien kukkien kanssa luovat kerroksellisen rakenteen.,,
